▶ 검색조건 [ 조회기간: 2019-01-01~2020-12-31   영화구분: 전체   국적: 전체   지역: 전체   제작사 : 전체   배급사 : 전체   감독명 : 전체   배우명 : 전체   등급별 : 전체   장르별 : 전체 ],,,,,,,,,,,,,,,,,
순위,영화명,개봉일,매출액,"매출액
점유율",누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,국적,제작사,배급사,등급,장르,감독,배우
5889,이웃집 영계:아이를 갖고싶어,2020-12-03,6000,0,6000,1,1,1,1,일본,일본,,(주)영진크리에이티브,청소년관람불가,"멜로/로맨스,드라마",고토지 미츠루,
5889,이웃집 유부녀 - 은밀한 만남,2019-11-26,6000,0,6000,1,1,1,1,일본,일본,,(주)빅콘미디어,청소년관람불가,기타,아사기리 조,
5889,이웃집 유부녀:속궁합 맞추기,2020-05-12,6000,0,6000,1,1,1,1,일본,일본,,(주)영진크리에이티브,청소년관람불가,"멜로/로맨스,드라마",토미죠 타로,
5889,이웃집 유부녀의 성교육,2019-06-04,6000,0,6000,1,1,1,1,일본,일본,,(주)영진크리에이티브,청소년관람불가,"멜로/로맨스,드라마",키무라 히로유키,
5889,이웃집남자와 불륜유부녀,2020-08-14,6000,0,6000,1,1,1,1,일본,일본,,(주)영진크리에이티브,청소년관람불가,"멜로/로맨스,드라마",하라다 칸토나,
5889,이유있는 불륜,2019-10-03,1000,0,1000,1,1,1,1,일본,일본,,(주)빅콘미디어,청소년관람불가,멜로/로맨스,아라시야마 미치루,시노다 아유미
5889,이은미-가슴큰누나,2020-01-10,5000,0,5000,1,1,1,1,한국,한국,스마일컨텐츠,스마일컨텐츠,청소년관람불가,멜로/로맨스,원명준,
5889,이은미-가슴큰누나-무삭제,2020-03-25,5000,0,5000,1,1,1,1,한국,한국,스마일컨텐츠,스마일컨텐츠,청소년관람불가,멜로/로맨스,원명준,
5889,이자카야의 미인 주인딸,2019-10-07,6000,0,6000,1,1,1,1,일본,일본,,(주)도키엔터테인먼트,청소년관람불가,성인물(에로),다카하시 하루카,
5889,이자카야의 변태손님,2019-07-06,6000,0,6000,1,1,1,1,일본,일본,,(주)도키엔터테인먼트,청소년관람불가,성인물(에로),코지마 유키오,
5889,이자카야의 친척누나,2019-04-08,6000,0,6000,1,1,1,1,일본,일본,,(주)도키엔터테인먼트,청소년관람불가,성인물(에로),타카사카 미쿠치,
5889,이혼녀의 맛,2020-05-04,6000,0,6000,1,1,1,1,일본,일본,,(주)영진크리에이티브,청소년관람불가,"멜로/로맨스,드라마",버드맨 텟페이,
5889,이혼녀의 쫄깃 속살,2020-05-13,6000,0,6000,1,1,1,1,일본,일본,,(주)영진크리에이티브,청소년관람불가,"멜로/로맨스,드라마",버드맨 텟페이,
5889,인 더 다크: 악령의 부활,2020-07-03,5000,0,5000,1,1,1,1,영국,영국,,(주)더그레이트컴퍼니,청소년관람불가,공포(호러),,
5889,인공수정: 아이를 갖고 싶어요,,6000,0,6000,1,1,1,1,일본,일본,,(주)씨맥스커뮤니케이션즈,청소년관람불가,드라마,아나콘다 아나키,
5889,인류멸망 : 외계인이 주는 마지막 기회,,6000,0,6000,1,1,1,1,영국,영국,,,,스릴러,,데이비드 브래들리
5889,인사불성 취객녀와의 뜨거운 밤,2020-06-09,6000,0,6000,1,1,1,1,일본,일본,,(주)영진크리에이티브,청소년관람불가,"멜로/로맨스,드라마",버드맨 텟페이,
5889,인터뷰 그녀의 속사정,2020-08-15,2000,0,2000,1,1,1,1,한국,한국,P&미디어,P&미디어,청소년관람불가,멜로/로맨스,데니 장,
5889,인형같은 노조미짱-전력봉사,2020-05-02,6000,0,6000,1,1,1,1,일본,일본,,(주)도키엔터테인먼트,청소년관람불가,성인물(에로),,
5889,일본 란제리 속옷모델을 소파에서,2019-10-07,6000,0,6000,1,1,1,1,일본,일본,,(주)도키엔터테인먼트,청소년관람불가,성인물(에로),나카무라 켄지,
5889,일본 료칸형 호텔의 마사지사,2019-07-05,6000,0,6000,1,1,1,1,일본,일본,,(주)도키엔터테인먼트,청소년관람불가,멜로/로맨스,가토 마사키,
5889,일본:불륜 주부들,2019-03-25,6000,0,6000,1,1,1,1,일본,일본,,(주)영진크리에이티브,청소년관람불가,"멜로/로맨스,드라마",후지모토 죠지,
5889,일본꽐라녀:달아오른 몸뚱이,2020-06-17,6000,0,6000,1,1,1,1,일본,일본,,(주)영진크리에이티브,청소년관람불가,"멜로/로맨스,드라마",버드맨 텟페이,아이카
5889,일본식 아내 길들이기,2019-07-19,1000,0,1000,1,1,1,1,한국,한국,유한회사 영화사 반딧불,유한회사 영화사 반딧불,청소년관람불가,성인물(에로),김영민,
5889,일본여자:섹스 스파링,2020-03-26,6000,0,6000,1,1,1,1,일본,일본,,(주)영진크리에이티브,청소년관람불가,"멜로/로맨스,드라마",토미죠 타로,
5889,일본호텔 유부녀의 첫날,2020-02-01,6000,0,6000,1,1,1,1,일본,일본,,(주)도키엔터테인먼트,청소년관람불가,성인물(에로),,
5889,임신 시켜주세요,2019-01-30,6000,0,6000,1,1,1,1,일본,일본,,(주)영진크리에이티브,청소년관람불가,"멜로/로맨스,드라마",나가에 타카미,
5889,임신 정복 초미녀 외계인,,6000,0,6000,1,1,1,1,일본,일본,,(주)씨맥스커뮤니케이션즈,청소년관람불가,드라마,히무 롯쿠,
5889,임신스캔들:아내가 당했다,2020-04-13,6000,0,6000,1,1,1,1,일본,일본,,(주)영진크리에이티브,청소년관람불가,"멜로/로맨스,드라마",토미죠 타로,
5889,임신한 아내 대신 옆집 여자,2019-01-25,6000,0,6000,1,1,1,1,일본,일본,,(주)영진크리에이티브,청소년관람불가,"멜로/로맨스,드라마",나가에 타카미,
5889,임파서블 미션,2020-09-23,5000,0,5000,1,1,1,1,스페인,스페인,,(주)박수엔터테인먼트,,액션,,
5889,자가당착: 시대정신과 현실참여,2015-09-10,7000,0,3285000,1,533,1,1,한국,한국,곡사,(주)인디플러그,청소년관람불가,"코미디,기타",김선,"정아영,강석,강영수,윤보경,신혜옥,박세희,박진아,이란희"
5889,자금성 금의위,,1000,0,1000,1,1,1,1,중국,중국,,,,액션,류신의,
5889,자매들: 감금의 추억 무삭제판,2020-06-30,6000,0,6000,1,1,1,1,한국,한국,주식회사 플릭스코,주식회사 플릭스코,청소년관람불가,드라마,한동호,민도윤
5889,자매의 은밀한 동거 감독판,2020-08-05,2000,0,2000,1,1,1,1,한국,한국,(주)액티버스엔터테인먼트,(주)액티버스엔터테인먼트,청소년관람불가,성인물(에로),리차드 킴,
5889,자매의교환섹스-무삭제,2019-04-05,5000,0,5000,1,1,1,1,한국,한국,에이원 미디어,에이원 미디어,청소년관람불가,멜로/로맨스,장두만,
5889,자매의교환섹스2,2020-09-04,5000,0,5000,1,1,1,1,한국,한국,에이원 미디어,에이원 미디어,청소년관람불가,멜로/로맨스,천성준,민도윤
5889,자매전쟁,2020-01-22,1000,0,1000,1,1,1,1,한국,한국,영화사 산들바람,(주)액티버스엔터테인먼트,청소년관람불가,"성인물(에로),드라마",리차드 킴,
5889,자세가 좋았던 전 여친,2020-08-25,2000,0,2000,1,1,1,1,일본,일본,,(주)플라이어,청소년관람불가,"성인물(에로),드라마",오자키 히로코우지,
5889,자세가 좋은 제수씨,2020-09-15,6000,0,6000,1,1,1,1,일본,일본,,(주)플라이어,청소년관람불가,"성인물(에로),드라마",고혼마츠 사에,카케이 에리카
5889,자유여행,,1000,0,1000,1,1,1,1,한국,한국,,,12세이상관람가,다큐멘터리,방극철,
5889,작은 엄마 2,2020-03-30,6000,0,6000,1,1,1,1,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,멜로/로맨스,김환,이은미
5889,잘 느끼는 새엄마의 유혹,2019-09-03,6000,0,6000,1,1,1,1,일본,일본,,(주)영진크리에이티브,청소년관람불가,"멜로/로맨스,드라마",키무라 히로유키,
5889,잘 벗는 옆집여자,2020-01-03,6000,0,6000,1,1,1,1,일본,일본,,(주)영진크리에이티브,청소년관람불가,"멜로/로맨스,드라마",버드맨 텟페이,
5889,잘 주는 간호사들 : 병원에서 생긴 일,2019-11-22,1000,0,1000,1,1,1,1,한국,한국,(주)씨맥스커뮤니케이션즈,(주)씨맥스커뮤니케이션즈,청소년관람불가,드라마,박은석,
5889,잘 주는 옆집여자,2020-05-04,6000,0,6000,1,1,1,1,일본,일본,,(주)영진크리에이티브,청소년관람불가,"멜로/로맨스,드라마",버드맨 텟페이,
5889,잘 주는 외국녀들,2019-12-13,1000,0,1000,1,1,1,1,한국,한국,(주)영진크리에이티브,(주)영진크리에이티브,청소년관람불가,드라마,윤준세,
5889,잘 주는 유부녀들,2020-03-11,6000,0,6000,1,1,1,1,일본,일본,,(주)영진크리에이티브,청소년관람불가,"멜로/로맨스,드라마",아카바네 키쿠지로,
5889,잘 주는 유부녀들 무삭제판,2020-07-07,6000,0,6000,1,1,1,1,일본,일본,,(주)영진크리에이티브,청소년관람불가,"멜로/로맨스,드라마",아카바네 키쿠지로,
5889,잘 해주는 어린 새엄마,2020-01-31,6000,0,6000,1,1,1,1,일본,일본,,(주)영진크리에이티브,청소년관람불가,"멜로/로맨스,드라마",버드맨 텟페이,
5889,잘 해주는 여비서,2019-08-27,6000,0,6000,1,1,1,1,일본,일본,,(주)영진크리에이티브,청소년관람불가,"멜로/로맨스,드라마",모리 히데토라,
5889,잘못 배달 온 새엄마,2019-08-05,6000,0,6000,1,1,1,1,일본,일본,,(주)도키엔터테인먼트,청소년관람불가,성인물(에로),카가와 켄타로,
5889,잘주는 누나들,2019-05-17,5000,0,5000,1,1,1,1,한국,한국,(주)케이피에이기획,(주)케이피에이기획,청소년관람불가,멜로/로맨스,천성준,
5889,잘주는 누나들 무삭제판,2019-09-20,5000,0,5000,1,1,1,1,한국,한국,(주)케이피에이기획,(주)케이피에이기획,청소년관람불가,멜로/로맨스,천성준,
5889,잘주는 여비서들,2019-05-24,2000,0,2000,1,1,1,1,한국,한국,(주)씨맥스커뮤니케이션즈,(주)씨맥스커뮤니케이션즈,청소년관람불가,드라마,윤중부,
5889,잘주는 여비서들 무삭제,2019-08-28,1000,0,1000,1,1,1,1,한국,한국,(주)씨맥스커뮤니케이션즈,(주)씨맥스커뮤니케이션즈,청소년관람불가,드라마,윤중부,
5889,잠 못 이루는 섹스2 무삭제판,2020-01-09,1000,0,1000,1,1,1,1,한국,한국,(주)케이알씨지,(주)케이알씨지,청소년관람불가,"성인물(에로),멜로/로맨스",이민환,
5889,잠든 남편 옆에서 은밀하게,2019-07-08,6000,0,6000,1,1,1,1,일본,일본,,(주)영진크리에이티브,청소년관람불가,"멜로/로맨스,드라마",코메이,
5889,장기왕 : 가락시장 레볼루션,2017-02-02,11000,0,9900000,1,1251,1,1,한국,한국,오락가락픽쳐스,하준사,15세이상관람가,코미디,정다원,"정두원,최시온,박예영,정다원,송치영,송치영,정지형,정진재,주용,최요셉,이서하,이승철,이윤형,김재록,김태양,안선영,배유람,이정민,이상희,임영우,홍지석,홍지석"
5889,장모님과 후끈한 밤을,2020-04-03,6000,0,6000,1,1,1,1,일본,일본,,(주)도키엔터테인먼트,청소년관람불가,성인물(에로),,
5889,장모님들의 사랑 - 무삭제,2020-07-03,5000,0,5000,1,1,1,1,한국,한국,(주)디에이치미디어,(주)소나무픽쳐스,청소년관람불가,멜로/로맨스,왕지방,
5889,장모와 아내사이에서,2020-04-03,6000,0,6000,1,1,1,1,일본,일본,,(주)도키엔터테인먼트,청소년관람불가,성인물(에로),,
5889,장모의 딸 무삭제판,2019-12-06,6000,0,6000,1,1,1,1,한국,한국,(주)영진크리에이티브,(주)영진크리에이티브,청소년관람불가,"멜로/로맨스,드라마",윤준세,
5889,장모의 마사지 - 무삭제,2020-12-16,5000,0,5000,1,1,1,1,한국,한국,스마일컨텐츠,스마일컨텐츠,청소년관람불가,멜로/로맨스,이정석,
5889,장모의마사지,2020-10-23,5000,0,5000,1,1,1,1,한국,한국,스마일컨텐츠,스마일컨텐츠,청소년관람불가,멜로/로맨스,이정석,
5889,장모의유혹-무삭제,2019-05-10,5000,0,5000,1,1,1,1,한국,한국,스마일컨텐츠,스마일컨텐츠,청소년관람불가,멜로/로맨스,김이슬,
5889,저는 당신의 노예입니다,2019-01-04,6000,0,6000,1,1,1,1,일본,일본,,(주)도키엔터테인먼트,청소년관람불가,성인물(에로),우스바시 수이,
5889,저주받은 이야기들,2020-11-18,1000,0,1000,1,1,1,1,미국,미국,,(주)알이디아이스엔터,청소년관람불가,"코미디,공포(호러)",,
5889,적극적인 G컵 접대녀,2020-09-25,6000,0,6000,1,1,1,1,일본,일본,,(주)빅콘미디어,청소년관람불가,성인물(에로),헤이키 치로,호시노 나미
5889,적나라한 친구엄마,2019-01-07,6000,0,6000,1,1,1,1,일본,일본,,(주)도키엔터테인먼트,청소년관람불가,성인물(에로),사루,
5889,적인걸: 심해용궁,,1000,0,1000,1,1,1,1,중국,중국,,(주)위즈덤콘텐츠,,"액션,미스터리",,"연개,윤자유"
5889,전 남친에 빼앗긴 아내,2020-05-12,2000,0,2000,1,1,1,1,일본,일본,,(주)플라이어,청소년관람불가,"성인물(에로),드라마",잠파,
5889,전 남친에 빼앗긴 아내- 무삭제판,,6000,0,6000,1,1,1,1,일본,일본,,,청소년관람불가,"성인물(에로),드라마",잠파,히나타 에미
5889,전 남친에게 뺏긴 약혼녀,2019-10-03,1000,0,1000,1,1,1,1,일본,일본,,(주)빅콘미디어,청소년관람불가,멜로/로맨스,히무 롯쿠,
5889,전망 좋은 하숙집 무삭제,2020-02-04,6000,0,6000,1,1,1,1,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,멜로/로맨스,김부곤,"안소희,이은미"
5889,전설의 명기녀:아내의 기술,2019-05-27,6000,0,6000,1,1,1,1,일본,일본,,(주)영진크리에이티브,청소년관람불가,"멜로/로맨스,드라마","나쿠루 하라다,토미죠 타로",
5889,전설의 파이터,2020-06-16,1000,0,1000,1,1,1,1,한국,한국,"(주)컨텐츠 빌리지,(주)스토리풀",(주)드림팩트엔터테인먼트,청소년관람불가,액션,배효민,"김대한,이세호"
5889,전여친이 상사의 아내라니,2020-04-03,6000,0,6000,1,1,1,1,일본,일본,,(주)도키엔터테인먼트,청소년관람불가,성인물(에로),,
5889,전쟁의 시간,,8000,0,8000,1,1,1,1,스페인,"스페인,아르헨티나",,,,"드라마,전쟁",알레한드로 아메나바르,"카라 엘레할데,에두아르드 페르난데즈"
5889,젊은 과부,2019-10-16,5000,0,5000,1,1,1,1,한국,한국,(주)소나무픽쳐스,(주)소나무픽쳐스,청소년관람불가,멜로/로맨스,이진,
5889,젊은 남자 사냥 유부녀,2019-08-02,6000,0,6000,1,1,1,1,일본,일본,,(주)도키엔터테인먼트,청소년관람불가,성인물(에로),미나토야 켄타로,
5889,젊은 남자에 환장한 새 엄마,2019-04-24,6000,0,6000,1,1,1,1,일본,일본,,(주)영진크리에이티브,청소년관람불가,"멜로/로맨스,드라마",키무라 히로유키,
5889,젊은 누나-무삭제판,2019-02-27,1000,0,1000,1,1,1,1,한국,한국,(주)케이알씨지,(주)케이알씨지,청소년관람불가,멜로/로맨스,이민,
5889,젊은 며느리 무삭제판,2019-09-03,5000,0,5000,1,1,1,1,한국,한국,(주)가온콘텐츠,(주)가온콘텐츠,청소년관람불가,"드라마,멜로/로맨스",한동호,
5889,젊은 미망인 무삭제판,2019-08-01,1000,0,1000,1,1,1,1,한국,한국,,(주)가온콘텐츠,청소년관람불가,"드라마,멜로/로맨스",한동호,
5889,젊은 새엄마:달아오른 날,2019-04-12,6000,0,6000,1,1,1,1,일본,일본,,(주)영진크리에이티브,청소년관람불가,"멜로/로맨스,드라마",네쿄쿠 타란티노,
5889,젊은 새엄마:아빠에겐 비밀이야,2020-02-01,6000,0,6000,1,1,1,1,일본,일본,,(주)영진크리에이티브,청소년관람불가,"멜로/로맨스,드라마",버드맨 텟페이,
5889,젊은 새엄마:여자가 되는 날,2019-04-12,6000,0,6000,1,1,1,1,일본,일본,,(주)영진크리에이티브,청소년관람불가,"멜로/로맨스,드라마",코메이,
5889,젊은 새엄마:터져버린 욕정,2019-09-19,6000,0,6000,1,1,1,1,일본,일본,,(주)영진크리에이티브,청소년관람불가,"멜로/로맨스,드라마",코메이,카와카미 유우
5889,젊은 새엄마들,2019-08-16,6000,0,6000,1,1,1,1,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,멜로/로맨스,김진수,
5889,젊은 새엄마들 무삭제,2019-10-15,6000,0,6000,1,1,1,1,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,멜로/로맨스,김진수,
5889,젊은 새엄마의 속사정,2020-05-19,2000,0,2000,1,1,1,1,일본,일본,,(주)플라이어,청소년관람불가,"성인물(에로),드라마",잠파,
5889,젊은 새엄마의 유혹,2019-04-06,6000,0,6000,1,1,1,1,일본,일본,,(주)영진크리에이티브,청소년관람불가,"멜로/로맨스,드라마",코메이,
5889,"젊은 아내, 남편 후배와 몰래",2019-01-25,2000,0,2000,1,1,1,1,일본,일본,,주식회사 미콘,청소년관람불가,드라마,마스부치 가키토,
5889,젊은 아내:질펀한 하루,2019-12-18,6000,0,6000,1,1,1,1,일본,일본,,(주)영진크리에이티브,청소년관람불가,"멜로/로맨스,드라마",타케시 코쿠류,
5889,젊은 아내의 몸짓,2019-05-28,6000,0,6000,1,1,1,1,일본,일본,,(주)플라이어,청소년관람불가,"성인물(에로),드라마",히로아키,마키 쿄코
5889,젊은 아내의 불륜 현장,2020-04-03,6000,0,6000,1,1,1,1,일본,일본,,(주)씨맥스커뮤니케이션즈,청소년관람불가,성인물(에로),하라다 칸토나,
5889,젊은 엄마 친구 2 무삭제,2019-12-24,6000,0,6000,1,1,1,1,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,멜로/로맨스,정현수,
5889,젊은 엄마:남편의 아들,2019-12-17,6000,0,6000,1,1,1,1,일본,일본,,(주)영진크리에이티브,청소년관람불가,"멜로/로맨스,드라마",쿠로아카 긴조,
5889,젊은 장모: 여친의 엄마,2020-01-13,5000,0,5000,1,1,1,1,한국,한국,제이투프로덕션,(주)소나무픽쳐스,청소년관람불가,멜로/로맨스,이재금,
5889,젊은 장모님들,2019-05-03,5000,0,5000,1,1,1,1,한국,한국,(주)소나무픽쳐스,(주)소나무픽쳐스,청소년관람불가,멜로/로맨스,이진,
5889,젊은 장모님들 - 감독판,2019-08-05,5000,0,5000,1,1,1,1,한국,한국,(주)소나무픽쳐스,(주)소나무픽쳐스,청소년관람불가,"멜로/로맨스,드라마",이진,
5889,젊은 장모에게 정사를 들킨 날,2019-10-04,6000,0,6000,1,1,1,1,일본,일본,,(주)도키엔터테인먼트,청소년관람불가,성인물(에로),,
5889,젊은 장모와 사고친 오후,2019-10-04,6000,0,6000,1,1,1,1,일본,일본,,(주)도키엔터테인먼트,청소년관람불가,성인물(에로),나베 아츠시,
5889,젊은 형수 2 무삭제,2019-05-28,6000,0,6000,1,1,1,1,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,멜로/로맨스,이상민,
5889,젊은 형수-음란한 외도,2020-03-04,6000,0,6000,1,1,1,1,일본,일본,,(주)영진크리에이티브,청소년관람불가,"멜로/로맨스,드라마",하라다 칸토나,
5889,젊은 형수와 처제,2019-12-12,5000,0,5000,1,1,1,1,한국,한국,(주)소나무픽쳐스,(주)소나무픽쳐스,청소년관람불가,멜로/로맨스,강정훈,
5889,젊은친구엄마,2019-10-18,5000,0,5000,1,1,1,1,한국,한국,스마일컨텐츠,스마일컨텐츠,청소년관람불가,멜로/로맨스,최성길,
5889,젊은친구엄마- 무삭제,2019-11-29,5000,0,5000,1,1,1,1,한국,한국,스마일컨텐츠,스마일컨텐츠,청소년관람불가,멜로/로맨스,최성길,
5889,접대 전문 여비서,2019-05-31,2000,0,2000,1,1,1,1,한국,한국,(주)레드언더미디어,(주)레드언더미디어,청소년관람불가,드라마,윤준세,
5889,접대 전문 여비서 무삭제,2019-08-13,2000,0,2000,1,1,1,1,한국,한국,(주)레드언더미디어,(주)레드언더미디어,청소년관람불가,드라마,윤준세,
5889,정년퇴직한 변태 시아버지,2020-01-06,6000,0,6000,1,1,1,1,일본,일본,,(주)도키엔터테인먼트,청소년관람불가,성인물(에로),,
5889,정복의 신 징기즈칸,2019-05-29,1000,0,1000,1,1,1,1,중국,중국,,(유)조이앤시네마,15세이상관람가,"액션,어드벤처,전쟁",차오루 하쓰,"진위정,임윤"
5889,정사 2019,2019-12-26,6000,0,6000,1,1,1,1,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,멜로/로맨스,김이슬,
5889,정사 : 사돈처녀,2020-02-11,6000,0,6000,1,1,1,1,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,멜로/로맨스,최민현,
5889,정사 : 사돈처녀 2,2020-06-12,6000,0,6000,1,1,1,1,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,멜로/로맨스,최민현,
5889,정사 : 사돈처녀 무삭제,2020-04-22,6000,0,6000,1,1,1,1,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,드라마,최민현,
5889,정사 : 아내의 친구 2,2019-08-27,6000,0,6000,1,1,1,1,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,멜로/로맨스,조태호,
5889,정사 : 엄마친구,2019-10-10,2000,0,2000,1,1,1,1,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,멜로/로맨스,김환,
5889,정사 : 엄마친구 2,2020-10-21,6000,0,6000,1,1,1,1,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,멜로/로맨스,김진우,
5889,정사 : 착한 며느리들 2 무삭제,2019-03-13,6000,0,6000,1,1,1,1,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,멜로/로맨스,김부곤,
5889,정사 : 착한 며느리들 3 무삭제,2020-05-13,6000,0,6000,1,1,1,1,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,멜로/로맨스,이민우,
5889,정사 : 친구엄마와 친구누나,2020-06-12,6000,0,6000,1,1,1,1,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,멜로/로맨스,최민현,
5889,정사 : 친구의 엄마 3 무삭제,2020-07-16,6000,0,6000,1,1,1,1,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,멜로/로맨스,최찬호,
5889,정사 : 타인의 아내,2020-12-15,6000,0,6000,1,1,1,1,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,성인물(에로),조태호,
5889,정사 거부할 수 없는 유혹,2020-08-14,2000,0,2000,1,1,1,1,한국,한국,P&미디어,P&미디어,청소년관람불가,멜로/로맨스,,한석봉
5889,정사: 금지된 사랑,2020-01-23,5000,0,5000,1,1,1,1,헝가리,헝가리,,(주)소나무픽쳐스,청소년관람불가,멜로/로맨스,,
5889,정사: 두 여자,2019-12-09,5000,0,5000,1,1,1,1,프랑스,"프랑스,포르투갈",,(주)소나무픽쳐스,청소년관람불가,"멜로/로맨스,드라마",데니스 베리,
5889,정사: 딸의 친구들,2019-12-23,5000,0,5000,1,1,1,1,한국,한국,(주)소나무픽쳐스,(주)소나무픽쳐스,청소년관람불가,"멜로/로맨스,드라마",이재훈,
5889,정사: 미친 사랑,2020-06-08,5000,0,5000,1,1,1,1,핀란드,핀란드,,(주)소나무픽쳐스,청소년관람불가,"멜로/로맨스,드라마",,
5889,정사:남편을 위해 벗었다,2019-09-19,6000,0,6000,1,1,1,1,일본,일본,,(주)영진크리에이티브,청소년관람불가,"멜로/로맨스,드라마",토미죠 타로,
5889,정사:농익은 새엄마,2020-06-12,6000,0,6000,1,1,1,1,일본,일본,,(주)영진크리에이티브,청소년관람불가,"멜로/로맨스,드라마",키무라 히로유키,
5889,정사:며느리의 신음소리,2020-05-16,6000,0,6000,1,1,1,1,일본,일본,,(주)영진크리에이티브,청소년관람불가,"멜로/로맨스,드라마",버드맨 텟페이,
5889,정사:착한 며느리2,2020-01-03,6000,0,6000,1,1,1,1,일본,일본,,(주)영진크리에이티브,청소년관람불가,"멜로/로맨스,드라마",아카바네 키쿠지로,
5889,정성껏 해주는 옆집여자,2020-07-24,6000,0,6000,1,1,1,1,일본,일본,,(주)영진크리에이티브,청소년관람불가,"멜로/로맨스,드라마",버드맨 텟페이,
5889,정신 못차리는 유부녀,2019-05-03,6000,0,6000,1,1,1,1,일본,일본,,(주)도키엔터테인먼트,청소년관람불가,성인물(에로),이케지마 유타카,
5889,정신나간 사채이자,2019-04-05,6000,0,6000,1,1,1,1,일본,일본,,(주)도키엔터테인먼트,청소년관람불가,성인물(에로),고바야시 이치로,
5889,정조관념 없는 아내,2019-10-07,6000,0,6000,1,1,1,1,일본,일본,,(주)도키엔터테인먼트,청소년관람불가,성인물(에로),이즈미 료이치,
5889,젖어버린 아내:만족시켜 드릴게요,2020-11-24,6000,0,6000,1,1,1,1,일본,일본,,(주)영진크리에이티브,청소년관람불가,"멜로/로맨스,드라마",사노 B사쿠,
5889,젖어버린 오후:착한 제수씨,2020-11-07,6000,0,6000,1,1,1,1,일본,일본,,(주)영진크리에이티브,청소년관람불가,"멜로/로맨스,드라마",나가에 타카미,하나사키 이안
5889,젖은 속옷의 마사지사 - 흥분지수,2020-01-03,6000,0,6000,1,1,1,1,일본,일본,,(주)도키엔터테인먼트,청소년관람불가,성인물(에로),,
5889,젖은아내:남편상사와의 속궁합,2020-08-18,6000,0,6000,1,1,1,1,일본,일본,,(주)영진크리에이티브,청소년관람불가,"멜로/로맨스,드라마",하라다 칸토나,
5889,제 아내를 만족시켜주세요,2020-05-17,6000,0,6000,1,1,1,1,일본,일본,,(주)영진크리에이티브,청소년관람불가,"멜로/로맨스,드라마",토미죠 타로,
5889,제수씨 달래주기,2020-08-18,6000,0,6000,1,1,1,1,일본,일본,,(주)영진크리에이티브,청소년관람불가,"멜로/로맨스,드라마",사노 B사쿠,
5889,젠틀 크리처,,1000,0,1000,1,1,1,1,프랑스,프랑스,,,,드라마,세르게이 로즈니차,
5889,조건 섹스:부하직원의 아내,2019-02-11,6000,0,6000,1,1,1,1,일본,일본,,(주)영진크리에이티브,청소년관람불가,"멜로/로맨스,드라마",시타쿠치비루 아츠코,
5889,조건아빠:슈가대디 무삭제판,2019-04-12,1000,0,1000,1,1,1,1,한국,한국,(주)가온콘텐츠,(주)가온콘텐츠,청소년관람불가,멜로/로맨스,한동호,
5889,조건엄마 슈가맘 무삭제판,2019-08-06,1000,0,1000,1,1,1,1,한국,한국,(주)가온콘텐츠,(주)가온콘텐츠,청소년관람불가,"드라마,멜로/로맨스",한동호,
5889,조깅하는 유부녀와 정사,2019-06-03,6000,0,6000,1,1,1,1,일본,일본,,(주)도키엔터테인먼트,청소년관람불가,멜로/로맨스,사토 미유키,
5889,조련의 목적,,1000,0,1000,1,1,1,1,일본,일본,,,,성인물(에로),,사쿠라 미유키
5889,조선 스캔들,2020-07-08,1000,0,1000,1,1,1,1,한국,한국,(주)케이알씨지,(주)케이알씨지,청소년관람불가,멜로/로맨스,이동현,조완진
5889,좀비스쿨,2014-06-19,3500,0,62435500,1,7722,1,1,한국,한국,(주)피터팬픽쳐스,(주)박수엔터테인먼트,청소년관람불가,"공포(호러),액션",김석정,"백서빈,하은설,권민준,남동현,김경룡,김승환,손소영,박준기,이성천,이필립,장성수,조성재,한윤선,김진우"
5889,주말 오후 6시의 연인-무삭제판,2020-06-24,2000,0,2000,1,1,1,1,한국,한국,(주)나우콘텐츠,(주)나우콘텐츠,청소년관람불가,"멜로/로맨스,드라마",왕지방,"민도윤,조완진"
5889,주부딜러,2020-08-27,6000,0,6000,1,1,1,1,한국,한국,주식회사 플릭스코,주식회사 플릭스코,청소년관람불가,"성인물(에로),드라마","한동호,조금환","채승하,정연주,옥길동,민도윤,유종해"
